,Año,Trimestre,Provincia,Mbps_(Media_De_Bajada),Fecha
531,2018,3,Chaco,12.89,2018-07-01
532,2018,3,Chubut,6.08,2018-07-01
533,2018,3,Córdoba,14.82,2018-07-01
534,2018,3,Corrientes,11.49,2018-07-01
535,2018,3,Entre Ríos,10.52,2018-07-01
536,2018,3,Formosa,9.32,2018-07-01
537,2018,3,Jujuy,7.67,2018-07-01
538,2018,3,La Pampa,4.28,2018-07-01
539,2018,3,La Rioja,6.16,2018-07-01
540,2018,3,Mendoza,5.79,2018-07-01
541,2018,3,Misiones,12.49,2018-07-01
542,2018,3,Neuquén,14.67,2018-07-01
543,2018,3,Río Negro,10.06,2018-07-01
544,2018,3,Salta,9.27,2018-07-01
545,2018,3,San Juan,5.74,2018-07-01
546,2018,3,San Luis,8.81,2018-07-01
547,2018,3,Santa Cruz,5.37,2018-07-01
548,2018,3,Santa Fe,12.36,2018-07-01
549,2018,3,Santiago Del Estero,5.78,2018-07-01
550,2018,3,Tierra Del Fuego,5.99,2018-07-01
551,2018,3,Tucumán,15.26,2018-07-01
552,2018,2,Buenos Aires,14.68,2018-04-01
553,2018,2,Capital Federal,18.94,2018-04-01
554,2018,2,Catamarca,7.69,2018-04-01
555,2018,2,Chaco,12.5,2018-04-01
556,2018,2,Chubut,5.33,2018-04-01
557,2018,2,Córdoba,13.88,2018-04-01
558,2018,2,Corrientes,10.88,2018-04-01
559,2018,2,Entre Ríos,10.19,2018-04-01
560,2018,2,Formosa,8.97,2018-04-01
561,2018,2,Jujuy,6.29,2018-04-01
562,2018,2,La Pampa,4.1,2018-04-01
563,2018,2,La Rioja,5.59,2018-04-01
564,2018,2,Mendoza,5.88,2018-04-01
565,2018,2,Misiones,11.76,2018-04-01
566,2018,2,Neuquén,13.37,2018-04-01
